"","Job_Title","Company","Location","Links"
"89","Senior Data Analyst","firstPRO 360","Atlanta, GA","/pagead/clk?mo=r&ad=-6NYlbfkN0DuZEaOLIMXmCHIlBqxbszqfmoDVWXGulHyTmXQuAlUCtW1TNlfoHHnN_9mP6cAsLAWOXC9jV61-C8NAQT6SZhDJ0FkITCjiVfU4FMREdivW8Ie2uJHmQsh3rap6MDoJexS1WBC7byRPhed2KP4QxdXonvnMgY2RVN6v6D-7TsRClWVF3un8Pg3YAAtOwKSLE2JPvc8-osp8H-6p0Ekfdhrb8w2jiN2Xcjj2Qi3OMcxiuVPx3L0hVxblbgIzvIzl8mSM4wUv3RDUCDzdSuk237IZgaN1LEjPZnaghEVbH_LdfLGJpjEnKSy5I8IJzIz6NpBDw2RqLismm0ZzfyOLE4TGy5FxYsbO0K4jyKSID2IsuH1kAeL-lQLvTrPCMQoH6UFFfgtSB1Av_GwaYV2_QutVKXd1FNlFHM3Dm2yIruB6p3bO0ALDq6vGPtNkGBwsU_4qpjmFsYPR7oEl8MhWq38SDuEYS3nTWk=&p=12&fvj=0&vjs=3"
"90","Software Developer - Big Data Development","State Farm","Dunwoody, GA 30346","/rc/clk?jk=e0c1975b9bd3d9d0&fccid=d2310af9b3bb8585&vjs=3"
"91","Data Science/Behavioral Analytics Intern","Assurant","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=5dfb5c0be93a5037&fccid=cc80d5313758adb1&vjs=3"
"92","Data Engineer, Operations Decision Science","Delta","Atlanta, GA","/rc/clk?jk=f0f4752ce5a2f875&fccid=3f721eb1d31080a6&vjs=3"
"93","Director, Data Science - Remote","AMERICAN CANCER SOCIETY","Atlanta, GA","/rc/clk?jk=ed25d92d33f74169&fccid=0d26bf2273c73e76&vjs=3"
"94","Data Scientist / Engineer - Machine Learning (Experienced) -- EOSL","Georgia Tech Research Institute","Atlanta, GA","/rc/clk?jk=6ef749112a495831&fccid=db25687464a9ecf6&vjs=3"
"95","Sr. Pricing Analyst/Data Scientist","NAPA Auto Parts","Atlanta, GA 30339","/rc/clk?jk=0bd8284734ee1a90&fccid=3cb85b9ae156e8d0&vjs=3"
"96","Sr. Project Manager, Decision Science","Delta","Atlanta, GA","/rc/clk?jk=5d5524fa7b91ca95&fccid=3f721eb1d31080a6&vjs=3"
"97","Chatbot Engineer","Pearson","Atlanta, GA","/rc/clk?jk=1dccf9f4b0045d1e&fccid=915b1c0ee87e5e8a&vjs=3"
"98","Senior Data Scientist - Supply Chain","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=bbb19f985836fdf9&fccid=82e58e9861d48566&vjs=3"
"99","Statistical Forecast Analyst","Home Depot / THD","Atlanta, GA 30301 (Buckhead area)","/rc/clk?jk=99d122333d1385fd&fccid=82e58e9861d48566&vjs=3"
"100","Sr. Data Scientist","Georgia-Pacific","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=92f811d43f1b8bd5&fccid=f6b5ad8b9dfbe57b&vjs=3"
"101","Director Data Science","Anthem","Atlanta, GA","/rc/clk?jk=0cee6f2173f5e15b&fccid=2a4da7fa99f4b9ae&vjs=3"
"102","Lead Data Scientist","Honeywell","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=43ec3848f274e8b2&fccid=50208b5bf45ee3b8&vjs=3"
"103","Senior Data Analyst (Information Technology)","Atlanta Public Schools","Atlanta, GA","/rc/clk?jk=b5e6d8397de13941&fccid=7cc9cddddb564bb9&vjs=3"
"104","Data Scientist, Radio & Music Informatics Science","SiriusXM","Atlanta, GA 30361 (Midtown area)","/rc/clk?jk=a02fc4882cdd82bf&fccid=25039f950f78d541&vjs=3"
