"Period","Seasons","Individual.years"
"1","Pre-19th century","Pre-17th century (pre 1600), 17th century (1600s), 18th century (1700s)",1780
"2","1800–1849","1800–1809, 1810–1819, 1820–1829, 1830–1839, 1840–1849",1842
